connector_id,system_name,domain,portal_surface,capability,adapter_pattern,endpoint_pattern,auth_model,write_mode,evidence_path,owner,status
CONN_NETBOX,NetBox,source-of-truth,/hardware+/lifecycle,DCIM IPAM racks circuits devices inventory,REST API,/api/dcim/devices + /api/ipam/ip-addresses,service-token,api-with-gitops-audit,docs/architecture/system-ui-connectors.md,platform-owner,template
CONN_REDFISH,Redfish OpenBMC,hardware,/hardware,Power boot firmware inventory virtual media,REST API,/redfish/v1,mutual-tls-or-vault-secret,guarded-api-action,docs/hardware/hardware-provisioning.md,hardware-owner,template
CONN_MAAS,Canonical MAAS,hardware,/hardware,Bare-metal discovery commissioning deployment,REST API,/MAAS/api/2.0,machine-token,api-with-approval,docs/hardware/hardware-provisioning.md,hardware-owner,template
CONN_IRONIC,OpenStack Ironic,hardware,/hardware,Bare-metal node enrolment cleaning deployment,REST API,/v1/nodes,keystone-service-account,api-with-gitops-audit,docs/hardware/hardware-provisioning.md,cloud-owner,template
CONN_METAL3,Metal3 BareMetalHost,hardware,/hardware,Kubernetes-native bare-metal host lifecycle,Kubernetes CRD,BareMetalHost,cluster-service-account,gitops-manifest,docs/hardware/hardware-provisioning.md,platform-owner,template
CONN_TINKERBELL,Tinkerbell,hardware,/hardware,Declarative bare-metal workflows,Kubernetes API,Tinkerbell workflows,cluster-service-account,gitops-manifest,docs/hardware/hardware-provisioning.md,platform-owner,template
CONN_PROXMOX,Proxmox VE,cloud,/planner+/user+/operator,Small-site VM LXC storage backup and cluster operations,REST API,/api2/json,ticket-or-api-token,guarded-api-action,docs/software/deployment-stack-profiles.md,cloud-owner,pilot
CONN_CLOUDSTACK,Apache CloudStack,cloud,/planner+/user+/operator,Simpler IaaS zones networks accounts templates and VMs,REST API,/client/api,api-key-secret,api-with-quota-policy,docs/software/deployment-stack-profiles.md,cloud-owner,pilot
CONN_OPENSTACK,OpenStack,cloud,/user+/operator,VM network image volume and bare-metal services,OpenStack APIs,Nova Neutron Glance Cinder Ironic,keystone,api-with-quota-policy,docs/architecture/system-ui-connectors.md,cloud-owner,template
CONN_KUBERNETES,Kubernetes,cloud,/user+/operator+/data-platform,Workloads clusters queues admission and policies,Kubernetes API,cluster API,service-account,gitops-preferred,docs/architecture/system-ui-connectors.md,platform-owner,template
CONN_CEPH,Ceph,storage,/operator,Block object file storage health and capacity,REST mgr API,/api,service-token,guarded-api-action,docs/architecture/system-ui-connectors.md,storage-owner,template
CONN_KEYCLOAK,Keycloak,identity,/user+/operator,Tenants groups roles and identity federation,REST API,/admin/realms,service-account,api-with-approval,docs/architecture/system-ui-connectors.md,identity-owner,template
CONN_OPENBAO,OpenBao,secrets,/operator+/assurance,Secrets keys transit and audit events,REST API,/v1,approle-or-oidc,guarded-api-action,docs/architecture/system-ui-connectors.md,security-owner,template
CONN_POWERDNS,PowerDNS,network,/edge,Authoritative DNS zones records and delegation,REST API,/api/v1/servers,api-key-from-vault,gitops-or-api,docs/security/dns-and-certificate-authority.md,network-owner,pilot
CONN_CADDY,Caddy,edge,/edge,Reverse proxy certificates cache and routes,config-file,Caddyfile,gitops-secret,config-script-gitops,docs/software/browser-config-management.md,edge-owner,pilot
CONN_ARGOCD,Argo CD,gitops,/developer+/assurance,Application sync waves health rollback and promotion,REST API + GitOps,/api/v1/applications,oidc-or-token,gitops-preferred,docs/software/assurance-test-and-upgrade-fabric.md,platform-owner,template
CONN_FLUX,Flux,gitops,/developer+/assurance,Kubernetes GitOps reconciliation and drift,GitRepository Kustomization CRDs,GitRepository + Kustomization,cluster-service-account,gitops-manifest,docs/software/developer-platform.md,platform-owner,template
CONN_FORGEJO,Forgejo,developer,/developer+/assurance,Repos pull requests issues releases and approvals,REST API,/api/v1,service-token,api-with-audit,docs/software/developer-platform.md,developer-owner,template
CONN_WOODPECKER,Woodpecker CI,developer,/developer+/assurance,CI pipeline status logs and artifacts,REST API,/api,service-token,api-with-audit,docs/software/developer-platform.md,developer-owner,template
CONN_HARBOR,Harbor,registry,/developer+/assurance,Image registry signatures scans and projects,REST API,/api/v2.0,robot-account,api-with-policy,docs/security/supply-chain-security.md,security-owner,template
CONN_DEFECTDOJO,DefectDojo,security,/assurance,Finding ingestion deduplication risk owners and remediation,REST API,/api/v2,api-token,api-ingest,docs/security/open-threat-management-and-scanner.md,security-owner,template
CONN_DEPTRACK,Dependency-Track,security,/assurance,SBOM component inventory and supply-chain risk,REST API,/api/v1,api-key,api-ingest,docs/security/supply-chain-security.md,security-owner,template
CONN_WAZUH,Wazuh,security,/assurance+/operator,Endpoint vulnerability detections compliance and active response,REST API,/security/user/authenticate + /manager,api-token,read-mostly,docs/security/open-threat-management-and-scanner.md,soc-owner,template
CONN_OPENVAS,Greenbone OpenVAS,security,/assurance,Network vulnerability scan scheduling and reports,GMP API,gvmd,service-account,guarded-api-action,docs/security/open-threat-management-and-scanner.md,soc-owner,template
CONN_KUBESCAPE,Kubescape,security,/assurance,Kubernetes posture workload and vulnerability findings,Kubernetes API,securityreports,cluster-service-account,read-mostly,docs/security/open-threat-management-and-scanner.md,security-owner,template
CONN_OPENMETADATA,OpenMetadata,data,/data-platform,Data catalog lineage glossary ownership and quality,REST API,/api/v1,service-token,api-with-audit,docs/software/data-platform-service.md,data-owner,template
CONN_TRINO,Trino,data,/data-platform,SQL query gateway catalog and workload routing,REST API,/v1,service-token,read-mostly,docs/software/data-platform-service.md,data-owner,template
CONN_SUPERSET,Superset,data,/data-platform,Dashboards datasets charts and analytics apps,REST API,/api/v1,service-token,api-with-audit,docs/software/data-platform-service.md,data-owner,template
CONN_BMS_EPMS,BMS EPMS Gateway,facility,/operator+/lifecycle,Facility telemetry alarms controls and commissioning points,OPC-UA BACnet Modbus gateway,site-gateway,certificate,read-mostly-with-break-glass,docs/engineering/epms-bms-architecture.md,facility-owner,template
